209,,0
228,,0
875,,0
527,,1
993,,0
86,,1
590,,1
459,,0
296,,0
862,,1
492,,0
619,,1
608,,1
68,,1
54,,1
685,,0
650,,0
1094,,0
370,,0
1001,,1
38,,0
509,,0
539,,1
344,,0
574,,0
935,,0
769,,0
948,,1
139,,0
824,,0
567,,1
1054,,0
601,,1
1087,,1
550,,0
374,,0
807,,1
540,,0
405,,1
688,,0
724,,0
864,,1
1055,,1
466,,0
42,,0
568,,1
838,,0
224,,0
78,,1
249,,0
595,,
451,,
46,,
684,,
127,,
372,,
99,,
621,,
919,,
267,,
3,,
75,,
1089,,
798,,
329,,
571,,
44,,
1018,,
927,,
681,,
915,,
335,,
163,,
448,,
737,,
10,,
834,,
353,,
122,,
531,,
70,,
994,,
97,,
598,,
754,,
770,,
494,,
543,,
391,,
1002,,
549,,
629,,
827,,
143,,
431,,
821,,
126,,
721,,
424,,
906,,
