209,#breastcancer cures can cause #endometrialcancer. #tamoxifen,0
228,The lymph glands on 1 side of my chest & under arm were removed. There's of course some nerve damage but not total paralysis. #breastcancer,0
875,"like the whole process of finding a bra that fits, having continually buying bras that kinda fit(don’t get me started on the prices), the fact that your boobs can grow or shrink over time(this needing to repeat the first two things I said), breast cancer statistics",0
527,"b""@repdancrenshaw i'm so sorry to know you lost your mother &amp; realize you miss her terribly.  i'm a breast cancer survivor (surgery, taxotere &amp; cytoxan, + radiation).  as a mother &amp; cardiac/critical care rn, i'm very grateful for your mother's pioneering courage.  god bless you as you advocate!""",1
993,"When I had breast cancer they took me off birth control + prescribed tamoxifen & said I might stop having periods, menopause-like. I asked if I could still get pregnant and they DIDN'T KNOW. Yes, you can still get pregnant on tamoxifen and every cancer provider should know this.",0
86,"Today we are thankful for all of the researchers, scientists, advocates, and supporters who are working to create a world in which no one loses a loved one to #breastcancer. #HappyThanksgiving to you and all of your families! What are you thankful for?pic.twitter.com/14y3ulvYSe",1
590,b'many thanks gaynor.  #bccww see here.  particularly useful for compression glove users &amp;/or arm sleeve and gauntlet.   #cancer #breastcancer @ybcn_uk @metupuk general advice but particularly for anyone with  lymphoedema.',1
459,"b""@randallvc after breast cancer &amp; having to learn to walk again, i'm job hunting in a slightly different area bc i can't climb stairs \nmy rent was raised to $1943 a month; i lived frugally my entire life, invested, but i'm terrified i'm going to run out of money\xf0\x9f\x98\xa5\nyou're very fortunate""",0
296,"""Advice needed for strengthening nails one year post chemo (EC & Taxol) & having been on Tamoxifen for a year? I know it’s small in the grand scheme of things, but they are so soft, brittle, short and painful when they crack and break at this length. #chemo #breastcancer #nails""",0
862,My family and friends - they supported me 110% through breast cancer surgeries and treatments.  Phenomenal people!,1
492,"b""national #cancer hospital has run out of anastrozole which is used to prevent #breastcancer on those at high risk. but pharmacies haven't run out of them. so you can buy them at rs. 875 each cost you 26,250/= a month. or you can choose cancer.\n\n#lka #srilanka #healthcare""",0
619,"b'@templesmarkets i did the same in 2002 plus hydrogen peroxide ivs. i wanted to do this instead of chemo, but my doctor told me i had to do the chemo as well to make sure the breast cancer cells were killed due to its ability to metastasize elsewhere, &amp; ivs would be therapeutic &amp; detox the chemo.'",1
608,"b'@j_8991ali thats good news ali really happy for her, remember about over a year ago i put a tweet up saying my sister inlaw had breast cancer shes been through chemo and radiotherapy and had the all clear for now \xe2\x9d\xa4xx'",1
68,My oncologist just switched my meds to Letrizole (I believe it is spelled this way?) so I’m feeling good about that!! This is the one most of my friends are on who have gone through #breastcancer ,1
54,Two of our #HMHFellows were selected for @ASCO @AACR Vail workshop to develop effective clinical trial designs for #breastcancer and #uvealmelanoma.,1
685,"b""@thewalkingbritt @allianasabrina @rem_otl chemotherapy makes your immune system weaker compared to that of a person who has never been through chemotherapy. my mom is a breast cancer survivor and even though it wasn't that bad, the chemotherapy destroyed her inmune system and now she must take care of not getting sick""",0
650,"b'i have a genetic mutation that 1 in 200,000 people in the us have.  i also fell into a small % of women developing breast cancer at 30. i had less than a 1 percent chance going into anaphylactic shock during chemo but i did. i am not confident that my age (39) will protect me.'",0
1094,"b""#iamasurvivor and i will push for progress by sharing my story. #worldcancerday \n\n24 years ago dx breast cancer: lumpectomy, chemo, rads.  no internet, no ysc, no herceptin\n\n2007 mbc! bones, lungs, brain. past 12+ yrs on tx ev 3 weeks. \n\nbest advice: don't write the ending.""",0
370,b'Cant super markets prioritise people who seriously cannot  get to the shops for fear of cross infection in serious cases. Seriously l cant order a delivery spot they are all continuously blocked.l have stage 4 breast cancer and shingles and my carer could infect me.',0
1001,Tell me about it. We will spend probably close to $400 a month for my wife's pain medication related to her metastatic breast cancer before insurance kicks in one we hit our deductible. That doesn't include her oral chemo.,1
38,My #breastcancer wasn't caused by #solarpanels. Maybe we should ban  bbqs - they have carcinogenic properties. ,0
509,"b'i hate that some patients are swayed to spend more than they need to for expensive, ineffective/non-evidence based treatments.\n\nwe are lucky in #canada that we can focus on making the right desicions based on evidence, not what we can afford. #breastcancer #cancer #surgery #bcsm'",0
539,@GuyHudsonMD @Swedish - President @BarackObama wrote me a letter. It was in today’s mail. I started crying as I was reading it #breastcancer pic.twitter.com/DsQzOQt1CL,1
344,"b""@JeffreeStar I'm a 36 year old mother of 2 autistic kids. I was just diagnosed with breast cancer 2 days ago. I will be having a double mastectomy in 3 weeks and be starting chemo shortly after. On top of this my husband and I are both out of work until the corona stuff is over.""",0
574,I am doing some serious adulting today; made it through my first (of a few) dentist appt & now I am off to occupational therapy to help ease the incredible amount of pain that lives in my right shoulder due to severe avascular necrosis. #TeamDori #adulting #pain #breastcancer,0
935,I absolutely LOVE #herbchambers but I reached out to their Jeep dealership over a week ago about leasing a new Jeep now that I have finished my breast cancer treatments & I have still heard NOTHING back! I’d love to give you my business but nobody has gotten back! @HerbChambersCo,0
769,b'Prayers for my mom Sandy as she started chemotherapy for breast cancer today. 8 treatments over the next 4 months. I pray this will take care of the problem.\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',0
